<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.05	01:45:00	31.929	31.935	31.922	31.922	15	0	7
2025.03.05	02:00:00	31.922	31.933	31.901	31.921	398	0	7
2025.03.05	02:15:00	31.921	31.923	31.897	31.905	377	0	7
2025.03.05	02:30:00	31.905	31.916	31.875	31.887	477	0	9
2025.03.05	02:45:00	31.887	31.889	31.865	31.866	287	0	7
2025.03.05	03:00:00	31.866	31.895	31.798	31.838	1202	0	12
2025.03.05	03:15:00	31.838	31.857	31.785	31.806	959	0	10
2025.03.05	03:30:00	31.806	31.871	31.768	31.871	1067	0	8
2025.03.05	03:45:00	31.871	31.880	31.787	31.791	781	0	7
2025.03.05	04:00:00	31.791	31.879	31.769	31.854	845	0	7
2025.03.05	04:15:00	31.854	31.926	31.836	31.840	668	0	7
2025.03.05	04:30:00	31.840	31.870	31.777	31.849	1348	0	7
2025.03.05	04:45:00	31.849	31.903	31.809	31.880	868	0	7
2025.03.05	05:00:00	31.880	31.973	31.850	31.968	1183	0	7
2025.03.05	05:15:00	31.968	31.974	31.914	31.961	735	0	7
2025.03.05	05:30:00	31.961	31.964	31.910	31.959	642	0	7
2025.03.05	05:45:00	31.959	32.001	31.949	31.967	861	0	7
2025.03.05	06:00:00	31.967	32.014	31.960	32.003	387	0	7
2025.03.05	06:15:00	32.003	32.020	31.991	32.010	318	0	7
2025.03.05	06:30:00	32.010	32.025	31.999	32.013	372	0	7
2025.03.05	06:45:00	32.013	32.016	31.978	31.984	196	0	7
2025.03.05	07:00:00	31.984	32.038	31.983	32.038	325	0	8
2025.03.05	07:15:00	32.038	32.039	31.997	32.011	408	0	7
2025.03.05	07:30:00	32.011	32.020	31.975	32.008	521	0	7
2025.03.05	07:45:00	32.008	32.120	32.001	32.117	723	0	9
2025.03.05	08:00:00	32.117	32.155	32.094	32.146	836	0	7
2025.03.05	08:15:00	32.146	32.170	32.092	32.116	710	0	7
2025.03.05	08:30:00	32.116	32.140	32.089	32.125	572	0	7
2025.03.05	08:45:00	32.125	32.133	32.098	32.118	373	0	7
2025.03.05	09:00:00	32.118	32.180	32.118	32.146	836	0	7
2025.03.05	09:15:00	32.146	32.183	32.129	32.163	754	0	11
2025.03.05	09:30:00	32.165	32.291	32.154	32.222	842	0	10
2025.03.05	09:45:00	32.222	32.241	32.179	32.241	757	0	5
2025.03.05	10:00:00	32.241	32.324	32.212	32.310	1329	0	5
2025.03.05	10:15:00	32.310	32.338	32.295	32.329	1049	0	5
2025.03.05	10:30:00	32.329	32.356	32.299	32.349	778	0	5
2025.03.05	10:45:00	32.349	32.364	32.314	32.329	712	0	7
2025.03.05	11:00:00	32.329	32.362	32.302	32.315	921	0	7
2025.03.05	11:15:00	32.315	32.320	32.282	32.303	660	0	7
2025.03.05	11:30:00	32.303	32.316	32.261	32.316	541	0	7
2025.03.05	11:45:00	32.316	32.331	32.299	32.323	576	0	5
2025.03.05	12:00:00	32.323	32.358	32.302	32.310	567	0	5
2025.03.05	12:15:00	32.310	32.357	32.300	32.333	732	0	8
2025.03.05	12:30:00	32.333	32.356	32.312	32.317	575	0	5
2025.03.05	12:45:00	32.317	32.329	32.174	32.217	901	0	5
2025.03.05	13:00:00	32.217	32.277	32.217	32.233	729	0	5
2025.03.05	13:15:00	32.233	32.233	32.186	32.214	656	0	5
2025.03.05	13:30:00	32.214	32.261	32.174	32.255	675	0	5
2025.03.05	13:45:00	32.255	32.272	32.175	32.228	841	0	5
2025.03.05	14:00:00	32.228	32.357	32.215	32.351	982	0	6
2025.03.05	14:15:00	32.351	32.362	32.301	32.361	958	0	6
2025.03.05	14:30:00	32.361	32.403	32.346	32.382	810	0	6
2025.03.05	14:45:00	32.382	32.382	32.315	32.319	927	0	6
2025.03.05	15:00:00	32.319	32.325	32.213	32.215	2118	0	7
2025.03.05	15:15:00	32.215	32.336	32.185	32.283	1719	0	10
2025.03.05	15:30:00	32.283	32.337	31.935	31.997	2383	0	8
2025.03.05	15:45:00	31.997	32.135	31.934	32.111	2816	0	6
2025.03.05	16:00:00	32.111	32.193	32.040	32.051	2133	0	6
2025.03.05	16:15:00	32.049	32.112	31.986	32.100	1616	0	6
2025.03.05	16:30:00	32.103	32.401	32.096	32.349	2916	0	9
2025.03.05	16:45:00	32.349	32.435	32.312	32.380	2891	0	10
2025.03.05	17:00:00	32.314	32.486	32.248	32.423	3808	0	9
2025.03.05	17:15:00	32.423	32.503	32.386	32.456	2810	0	6
2025.03.05	17:30:00	32.456	32.528	32.403	32.442	2198	0	7
2025.03.05	17:45:00	32.442	32.531	32.439	32.481	1816	0	6
2025.03.05	18:00:00	32.481	32.558	32.441	32.531	1561	0	6
2025.03.05	18:15:00	32.531	32.582	32.489	32.570	1752	0	6
2025.03.05	18:30:00	32.570	32.579	32.518	32.569	1471	0	6
2025.03.05	18:45:00	32.569	32.594	32.503	32.526	1693	0	6
2025.03.05	19:00:00	32.526	32.580	32.420	32.488	2002	0	6
2025.03.05	19:15:00	32.488	32.524	32.464	32.496	1450	0	5
2025.03.05	19:30:00	32.496	32.511	32.457	32.461	1196	0	5
2025.03.05	19:45:00	32.461	32.588	32.442	32.585	1335	0	5
2025.03.05	20:00:00	32.585	32.614	32.461	32.554	1972	0	5
2025.03.05	20:15:00	32.554	32.613	32.545	32.580	1443	0	6
2025.03.05	20:30:00	32.581	32.598	32.528	32.543	1318	0	5
2025.03.05	20:45:00	32.543	32.619	32.542	32.600	1174	0	7
2025.03.05	21:00:00	32.600	32.622	32.577	32.610	1038	0	7
2025.03.05	21:15:00	32.611	32.639	32.583	32.629	1154	0	5
2025.03.05	21:30:00	32.629	32.650	32.609	32.638	773	0	5
2025.03.05	21:45:00	32.638	32.688	32.636	32.670	714	0	5
2025.03.05	22:00:00	32.670	32.703	32.655	32.676	805	0	5
2025.03.05	22:15:00	32.676	32.706	32.642	32.702	722	0	5
2025.03.05	22:30:00	32.702	32.706	32.670	32.692	839	0	5
2025.03.05	22:45:00	32.692	32.705	32.676	32.688	511	0	5
2025.03.05	23:00:00	32.688	32.697	32.670	32.674	361	0	5
2025.03.05	23:15:00	32.674	32.684	32.649	32.684	249	0	6
2025.03.05	23:30:00	32.684	32.689	32.618	32.618	207	0	5
2025.03.05	23:45:00	32.617	32.642	32.597	32.614	222	0	24
2025.03.06	01:00:00	32.594	32.709	32.591	32.663	377	0	9
2025.03.06	01:15:00	32.663	32.677	32.650	32.660	170	0	9
2025.03.06	01:30:00	32.660	32.694	32.659	32.684	185	0	8
2025.03.06	01:45:00	32.684	32.684	32.621	32.623	187	0	9
2025.03.06	02:00:00	32.623	32.624	32.602	32.624	261	0	8
2025.03.06	02:15:00	32.624	32.637	32.587	32.600	314	0	9
2025.03.06	02:30:00	32.600	32.609	32.567	32.569	279	0	9
2025.03.06	02:45:00	32.569	32.583	32.549	32.554	339	0	8
2025.03.06	03:00:00	32.554	32.605	32.534	32.534	1175	0	13
2025.03.06	03:15:00	32.534	32.553	32.489	32.513	794	0	10
2025.03.06	03:30:00	32.513	32.582	32.513	32.554	1060	0	8
2025.03.06	03:45:00	32.554	32.621	32.554	32.593	913	0	7
2025.03.06	04:00:00	32.593	32.675	32.593	32.605	795	0	7
2025.03.06	04:15:00	32.605	32.605	32.555	32.559	469	0	7
2025.03.06	04:30:00	32.559	32.572	32.526	32.550	620	0	7
2025.03.06	04:45:00	32.550	32.624	32.545	32.624	409	0	7
2025.03.06	05:00:00	32.624	32.630	32.547	32.564	610	0	7
2025.03.06	05:15:00	32.564	32.636	32.562	32.624	509	0	7
2025.03.06	05:30:00	32.624	32.638	32.562	32.572	428	0	7
2025.03.06	05:45:00	32.572	32.598	32.563	32.594	427	0	7
2025.03.06	06:00:00	32.594	32.607	32.559	32.580	409	0	7
2025.03.06	06:15:00	32.580	32.583	32.541	32.547	294	0	7
2025.03.06	06:30:00	32.547	32.590	32.547	32.581	277	0	7
2025.03.06	06:45:00	32.581	32.600	32.573	32.588	282	0	7
2025.03.06	07:00:00	32.588	32.593	32.559	32.582	295	0	7
2025.03.06	07:15:00	32.582	32.595	32.552	32.595	298	0	7
2025.03.06	07:30:00	32.595	32.603	32.554	32.572	754	0	9
2025.03.06	07:45:00	32.572	32.574	32.486	32.546	838	0	10
2025.03.06	08:00:00	32.546	32.610	32.546	32.610	736	0	7
2025.03.06	08:15:00	32.610	32.616	32.556	32.572	581	0	7
2025.03.06	08:30:00	32.572	32.608	32.554	32.608	458	0	7
2025.03.06	08:45:00	32.608	32.629	32.583	32.609	517	0	7
2025.03.06	09:00:00	32.609	32.647	32.587	32.625	713	0	6
2025.03.06	09:15:00	32.625	32.643	32.511	32.551	757	0	8
2025.03.06	09:30:00	32.552	32.616	32.525	32.573	904	0	9
2025.03.06	09:45:00	32.573	32.600	32.455	32.469	868	0	5
2025.03.06	10:00:00	32.469	32.563	32.452	32.522	1105	0	5
2025.03.06	10:15:00	32.522	32.557	32.510	32.546	869	0	5
2025.03.06	10:30:00	32.546	32.548	32.472	32.520	1028	0	5
2025.03.06	10:45:00	32.520	32.524	32.447	32.493	949	0	5
2025.03.06	11:00:00	32.493	32.495	32.415	32.492	1172	0	5
2025.03.06	11:15:00	32.492	32.496	32.381	32.393	953	0	5
2025.03.06	11:30:00	32.393	32.393	32.324	32.360	1184	0	7
2025.03.06	11:45:00	32.363	32.379	32.255	32.321	902	0	7
2025.03.06	12:00:00	32.321	32.362	32.282	32.317	1050	0	7
2025.03.06	12:15:00	32.317	32.387	32.315	32.386	946	0	5
2025.03.06	12:30:00	32.386	32.436	32.357	32.359	771	0	5
2025.03.06	12:45:00	32.359	32.389	32.315	32.320	747	0	7
2025.03.06	13:00:00	32.320	32.368	32.297	32.331	567	0	5
2025.03.06	13:15:00	32.331	32.382	32.323	32.355	680	0	5
2025.03.06	13:30:00	32.355	32.435	32.355	32.432	730	0	5
2025.03.06	13:45:00	32.432	32.433	32.398	32.427	619	0	5
2025.03.06	14:00:00	32.427	32.429	32.388	32.401	611	0	6
2025.03.06	14:15:00	32.401	32.454	32.386	32.399	640	0	6
2025.03.06	14:30:00	32.399	32.414	32.295	32.323	1075	0	7
2025.03.06	14:45:00	32.323	32.371	32.288	32.365	825	0	6
2025.03.06	15:00:00	32.365	32.423	32.356	32.376	1449	0	8
2025.03.06	15:15:00	32.376	32.447	32.327	32.377	1943	0	10
2025.03.06	15:30:00	32.377	32.455	32.280	32.417	1860	0	8
2025.03.06	15:45:00	32.417	32.448	32.370	32.384	1550	0	8
2025.03.06	16:00:00	32.382	32.454	32.342	32.399	1612	0	9
2025.03.06	16:15:00	32.399	32.431	32.347	32.407	1370	0	6
2025.03.06	16:30:00	32.407	32.559	32.382	32.527	2285	0	7
2025.03.06	16:45:00	32.527	32.672	32.508	32.622	2058	0	6
2025.03.06	17:00:00	32.622	32.724	32.599	32.658	2691	0	6
2025.03.06	17:15:00	32.658	32.721	32.593	32.669	2066	0	6
2025.03.06	17:30:00	32.669	32.701	32.592	32.694	2046	0	6
2025.03.06	17:45:00	32.694	32.712	32.621	32.685	1602	0	6
2025.03.06	18:00:00	32.685	32.735	32.675	32.711	1457	0	7
2025.03.06	18:15:00	32.711	32.745	32.691	32.730	1291	0	6
2025.03.06	18:30:00	32.729	32.750	32.690	32.744	1713	0	7
2025.03.06	18:45:00	32.744	32.751	32.692	32.713	934	0	7
2025.03.06	19:00:00	32.713	32.740	32.690	32.732	1179	0	5
2025.03.06	19:15:00	32.732	32.744	32.685	32.739	1060	0	5
2025.03.06	19:30:00	32.739	32.755	32.685	32.707	836	0	5
2025.03.06	19:45:00	32.707	32.718	32.580	32.636	1088	0	8
2025.03.06	20:00:00	32.636	32.731	32.632	32.727	946	0	7
2025.03.06	20:15:00	32.727	32.761	32.703	32.707	675	0	5
2025.03.06	20:30:00	32.707	32.739	32.677	32.685	836	0	5
2025.03.06	20:45:00	32.685	32.721	32.652	32.664	834	0	5
2025.03.06	21:00:00	32.664	32.681	32.608	32.666	777	0	5
2025.03.06	21:15:00	32.666	32.680	32.619	32.628	852	0	5
2025.03.06	21:30:00	32.628	32.678	32.601	32.656	891	0	5
2025.03.06	21:45:00	32.656	32.759	32.652	32.660	1187	0	5
2025.03.06	22:00:00	32.660	32.689	32.625	32.683	1305	0	5
2025.03.06	22:15:00	32.683	32.696	32.613	32.637	995	0	5
2025.03.06	22:30:00	32.637	32.652	32.582	32.592	1020	0	5
2025.03.06	22:45:00	32.592	32.630	32.588	32.605	879	0	5
2025.03.06	23:00:00	32.605	32.635	32.592	32.628	433	0	5
2025.03.06	23:15:00	32.628	32.641	32.617	32.641	436	0	5
2025.03.06	23:30:00	32.641	32.642	32.608	32.623	231	0	5
2025.03.06	23:45:00	32.623	32.633	32.598	32.617	135	0	30
2025.03.07	01:00:00	32.648	32.690	32.615	32.649	300	0	12
2025.03.07	01:15:00	32.649	32.694	32.649	32.670	205	0	12
2025.03.07	01:30:00	32.670	32.684	32.649	32.649	202	0	10
2025.03.07	01:45:00	32.649	32.649	32.619	32.624	234	0	10
2025.03.07	02:00:00	32.624	32.624	32.583	32.588	541	0	11
2025.03.07	02:15:00	32.588	32.619	32.533	32.536	464	0	10
2025.03.07	02:30:00	32.536	32.575	32.535	32.560	392	0	9
2025.03.07	02:45:00	32.557	32.576	32.534	32.558	361	0	9
2025.03.07	03:00:00	32.558	32.582	32.504	32.531	1011	0	11
2025.03.07	03:15:00	32.531	32.536	32.467	32.473	590	0	7
2025.03.07	03:30:00	32.473	32.538	32.453	32.537	759	0	8
2025.03.07	03:45:00	32.537	32.538	32.473	32.482	513	0	7
2025.03.07	04:00:00	32.482	32.504	32.433	32.465	533	0	7
2025.03.07	04:15:00	32.465	32.527	32.463	32.521	651	0	7
2025.03.07	04:30:00	32.521	32.560	32.496	32.550	666	0	7
2025.03.07	04:45:00	32.550	32.589	32.538	32.544	641	0	7
2025.03.07	05:00:00	32.544	32.564	32.522	32.535	616	0	7
2025.03.07	05:15:00	32.535	32.559	32.503	32.539	805	0	7
2025.03.07	05:30:00	32.539	32.607	32.535	32.571	590	0	7
2025.03.07	05:45:00	32.571	32.589	32.557	32.571	373	0	7
2025.03.07	06:00:00	32.571	32.600	32.571	32.588	355	0	7
2025.03.07	06:15:00	32.588	32.594	32.577	32.589	337	0	7
2025.03.07	06:30:00	32.589	32.609	32.579	32.605	273	0	7
2025.03.07	06:45:00	32.605	32.620	32.570	32.587	336	0	7
2025.03.07	07:00:00	32.587	32.613	32.580	32.607	325	0	9
2025.03.07	07:15:00	32.607	32.637	32.603	32.623	441	0	7
2025.03.07	07:30:00	32.623	32.642	32.589	32.603	732	0	7
2025.03.07	07:45:00	32.603	32.621	32.566	32.577	520	0	7
2025.03.07	08:00:00	32.577	32.580	32.524	32.556	636	0	7
2025.03.07	08:15:00	32.556	32.584	32.544	32.547	567	0	7
2025.03.07	08:30:00	32.547	32.583	32.542	32.565	586	0	7
2025.03.07	08:45:00	32.565	32.578	32.539	32.575	697	0	9
2025.03.07	09:00:00	32.575	32.613	32.559	32.601	694	0	7
2025.03.07	09:15:00	32.601	32.619	32.587	32.591	425	0	5
2025.03.07	09:30:00	32.591	32.605	32.580	32.605	480	0	5
2025.03.07	09:45:00	32.605	32.631	32.592	32.605	463	0	5
2025.03.07	10:00:00	32.605	32.611	32.547	32.574	812	0	5
2025.03.07	10:15:00	32.574	32.639	32.570	32.638	593	0	5
2025.03.07	10:30:00	32.638	32.661	32.590	32.639	757	0	5
2025.03.07	10:45:00	32.639	32.659	32.608	32.629	759	0	5
2025.03.07	11:00:00	32.626	32.667	32.612	32.647	503	0	5
2025.03.07	11:15:00	32.647	32.647	32.619	32.637	510	0	5
2025.03.07	11:30:00	32.637	32.656	32.614	32.650	488	0	5
2025.03.07	11:45:00	32.650	32.667	32.635	32.639	439	0	7
2025.03.07	12:00:00	32.639	32.654	32.612	32.615	506	0	7
2025.03.07	12:15:00	32.615	32.617	32.547	32.558	545	0	5
2025.03.07	12:30:00	32.558	32.584	32.525	32.574	453	0	5
2025.03.07	12:45:00	32.574	32.577	32.534	32.542	375	0	5
2025.03.07	13:00:00	32.542	32.570	32.521	32.566	442	0	6
2025.03.07	13:15:00	32.566	32.574	32.542	32.553	371	0	5
