<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.15	01:00:00	2048.19	2048.78	2046.95	2047.54	613	0	5
2024.01.15	01:15:00	2047.47	2047.96	2046.92	2046.92	275	0	5
2024.01.15	01:30:00	2046.92	2048.68	2046.34	2048.42	522	0	5
2024.01.15	01:45:00	2048.35	2048.37	2047.28	2047.63	380	0	5
2024.01.15	02:00:00	2047.75	2047.79	2045.80	2047.04	578	0	5
2024.01.15	02:15:00	2047.03	2048.27	2046.69	2048.01	521	0	5
2024.01.15	02:30:00	2048.03	2048.48	2047.60	2047.91	449	0	5
2024.01.15	02:45:00	2047.90	2048.38	2047.33	2047.89	737	0	5
2024.01.15	03:00:00	2047.85	2049.27	2047.62	2048.27	1019	0	5
2024.01.15	03:15:00	2048.30	2049.42	2047.52	2048.95	926	0	5
2024.01.15	03:30:00	2048.97	2050.94	2048.78	2050.94	1020	0	5
2024.01.15	03:45:00	2050.84	2051.42	2050.65	2051.09	837	0	5
2024.01.15	04:00:00	2051.11	2051.40	2049.85	2050.85	916	0	5
2024.01.15	04:15:00	2050.88	2055.18	2050.60	2054.70	1060	0	5
2024.01.15	04:30:00	2054.69	2055.48	2053.96	2054.46	925	0	5
2024.01.15	04:45:00	2054.51	2056.42	2054.07	2056.38	847	0	5
2024.01.15	05:00:00	2056.37	2056.74	2055.54	2055.97	828	0	5
2024.01.15	05:15:00	2056.00	2056.88	2055.86	2056.62	646	0	5
2024.01.15	05:30:00	2056.68	2058.02	2056.17	2057.98	678	0	5
2024.01.15	05:45:00	2058.03	2058.10	2056.53	2057.39	647	0	5
2024.01.15	06:00:00	2057.40	2057.59	2055.16	2055.23	557	0	5
2024.01.15	06:15:00	2055.23	2055.53	2053.58	2053.79	464	0	5
2024.01.15	06:30:00	2053.80	2054.88	2053.56	2054.80	412	0	5
2024.01.15	06:45:00	2054.79	2054.83	2054.20	2054.36	284	0	5
2024.01.15	07:00:00	2054.34	2054.60	2053.01	2054.31	582	0	5
2024.01.15	07:15:00	2054.33	2054.52	2053.86	2054.07	313	0	5
2024.01.15	07:30:00	2054.06	2055.11	2054.06	2054.94	460	0	5
2024.01.15	07:45:00	2055.00	2055.61	2054.60	2055.17	468	0	5
2024.01.15	08:00:00	2055.13	2055.13	2053.86	2054.66	526	0	7
2024.01.15	08:15:00	2054.66	2056.32	2054.49	2056.22	721	0	7
2024.01.15	08:30:00	2056.23	2057.00	2055.76	2056.43	606	0	7
2024.01.15	08:45:00	2056.39	2056.92	2055.09	2055.43	566	0	7
2024.01.15	09:00:00	2055.44	2055.95	2054.27	2055.28	774	0	5
2024.01.15	09:15:00	2055.18	2055.28	2053.90	2054.45	675	0	5
2024.01.15	09:30:00	2054.40	2054.76	2052.90	2054.66	943	0	5
2024.01.15	09:45:00	2054.69	2055.18	2053.49	2054.24	719	0	5
2024.01.15	10:00:00	2054.30	2057.08	2053.88	2056.68	773	0	5
2024.01.15	10:15:00	2056.68	2056.72	2055.07	2056.26	630	0	5
2024.01.15	10:30:00	2056.25	2058.22	2055.55	2057.95	845	0	5
2024.01.15	10:45:00	2057.87	2058.63	2056.48	2056.65	671	0	5
2024.01.15	11:00:00	2056.60	2057.03	2054.70	2056.87	718	0	5
2024.01.15	11:15:00	2056.90	2056.96	2055.84	2056.06	482	0	5
2024.01.15	11:30:00	2056.14	2056.44	2053.78	2054.23	669	0	5
2024.01.15	11:45:00	2054.21	2055.28	2052.99	2055.06	773	0	5
2024.01.15	12:00:00	2055.07	2055.19	2053.39	2053.69	719	0	5
2024.01.15	12:15:00	2053.63	2053.82	2052.06	2052.78	576	0	5
2024.01.15	12:30:00	2052.76	2053.98	2052.20	2053.39	575	0	5
2024.01.15	12:45:00	2053.40	2053.43	2052.52	2053.04	472	0	5
2024.01.15	13:00:00	2053.12	2053.75	2052.29	2052.46	514	0	5
2024.01.15	13:15:00	2052.49	2053.17	2051.55	2052.77	507	0	5
2024.01.15	13:30:00	2052.81	2053.56	2052.20	2053.48	562	0	5
2024.01.15	13:45:00	2053.47	2053.84	2053.01	2053.32	557	0	5
2024.01.15	14:00:00	2053.37	2053.73	2052.54	2052.72	512	0	5
2024.01.15	14:15:00	2052.86	2053.27	2052.08	2052.18	589	0	5
2024.01.15	14:30:00	2052.21	2052.38	2051.36	2051.49	709	0	5
2024.01.15	14:45:00	2051.50	2053.21	2051.40	2052.76	530	0	5
2024.01.15	15:00:00	2052.85	2053.76	2052.51	2053.62	919	0	5
2024.01.15	15:15:00	2053.63	2054.21	2052.60	2052.61	718	0	5
2024.01.15	15:30:00	2052.62	2053.74	2052.21	2053.24	697	0	5
2024.01.15	15:45:00	2053.23	2054.28	2053.17	2054.24	600	0	5
2024.01.15	16:00:00	2054.30	2054.43	2053.04	2053.72	661	0	5
2024.01.15	16:15:00	2053.65	2053.85	2052.09	2052.18	679	0	5
2024.01.15	16:30:00	2052.19	2053.28	2051.69	2052.33	657	0	5
2024.01.15	16:45:00	2052.33	2052.66	2051.94	2052.18	571	0	5
2024.01.15	17:00:00	2052.16	2052.50	2050.25	2050.54	914	0	5
2024.01.15	17:15:00	2050.52	2051.80	2049.28	2051.70	688	0	5
2024.01.15	17:30:00	2051.71	2052.57	2051.41	2051.66	604	0	5
2024.01.15	17:45:00	2051.64	2053.85	2051.57	2053.26	716	0	5
2024.01.15	18:00:00	2053.27	2054.71	2053.24	2053.81	770	0	5
2024.01.15	18:15:00	2053.81	2054.21	2053.43	2054.01	529	0	5
2024.01.15	18:30:00	2054.05	2054.81	2053.49	2054.33	462	0	5
2024.01.15	18:45:00	2054.37	2054.95	2053.81	2054.04	446	0	5
2024.01.15	19:00:00	2054.03	2054.52	2053.61	2054.24	327	0	5
2024.01.15	19:15:00	2054.25	2055.74	2054.25	2055.72	419	0	5
2024.01.15	19:30:00	2055.81	2056.35	2055.36	2055.78	390	0	5
2024.01.15	19:45:00	2055.82	2055.97	2054.72	2055.41	386	0	5
2024.01.15	20:00:00	2055.46	2055.46	2054.75	2055.08	149	0	5
2024.01.15	20:15:00	2054.98	2055.15	2054.46	2054.73	100	0	5
2024.01.15	20:30:00	2054.69	2055.05	2054.46	2054.46	71	0	5
2024.01.15	20:45:00	2054.47	2055.04	2054.33	2054.42	79	0	5
2024.01.15	21:00:00	2054.54	2054.54	2053.98	2054.08	174	0	5
2024.01.15	21:15:00	2054.07	2054.97	2053.66	2054.85	110	0	5
2024.01.16	01:00:00	2054.63	2055.59	2054.43	2055.38	534	0	5
2024.01.16	01:15:00	2055.62	2055.62	2054.10	2054.10	225	0	5
2024.01.16	01:30:00	2054.04	2055.41	2053.40	2055.04	463	0	5
2024.01.16	01:45:00	2055.05	2055.26	2053.82	2054.02	566	0	5
2024.01.16	02:00:00	2054.02	2054.51	2053.75	2053.75	547	0	5
2024.01.16	02:15:00	2053.76	2054.23	2052.22	2052.56	376	0	5
2024.01.16	02:30:00	2052.54	2052.82	2050.82	2051.83	657	0	5
2024.01.16	02:45:00	2051.80	2052.42	2050.80	2051.44	658	0	5
2024.01.16	03:00:00	2051.45	2051.72	2050.02	2050.82	1202	0	5
2024.01.16	03:15:00	2050.75	2052.52	2050.24	2052.21	878	0	5
